[2026/06/11 21:45:08] [INFO] Melisa daemon startup
[2026/06/11 21:45:08] [INFO] Node startup validation completed
[2026/06/11 21:45:08] [INFO] Melisa proxy listening on 127.0.0.1:8080
[2026/06/11 21:45:25] [ERROR] [REQ-c8fc2224c7864031ad8b7eda662fb648] No route found for 127.0.0.1:8080/
[2026/06/11 21:45:25] [ERROR] [REQ-285a349c559a474a8a118eee274afa08] No route found for 127.0.0.1:8080/favicon.ico
[2026/06/11 21:45:25] [ERROR] [REQ-d0cd6a101ee04e5b822459fe7bb9e91d] No route found for 127.0.0.1:8080/
[2026/06/11 21:45:44] [ERROR] [REQ-740f8317016848ffbb1f3a6d0a71fe1e] No route found for 127.0.0.1:8080/
[2026/06/11 21:45:44] [ERROR] [REQ-99c344c698974c74a052740d3c6c0abc] No route found for 127.0.0.1:8080/
[2026/06/11 21:45:44] [ERROR] [REQ-eaa0fd3f6ae24abea41d31d7dd1a106b] No route found for 127.0.0.1:8080/
[2026/06/11 21:45:45] [ERROR] [REQ-0995748fb294455ea55b12070f9ef868] No route found for 127.0.0.1:8080/
[2026/06/11 21:45:45] [ERROR] [REQ-3391a570d2a540ea88ada365b8ecafca] No route found for 127.0.0.1:8080/
[2026/06/11 21:45:45] [ERROR] [REQ-a33fe31764374e14bca47c086bc0f4c6] No route found for 127.0.0.1:8080/
[2026/06/11 21:45:46] [ERROR] [REQ-593d1fbc126d4509a8bf00088d83bf54] No route found for 127.0.0.1:8080/
[2026/06/11 21:45:46] [ERROR] [REQ-8e7dea5cb42845a18e2ba0f02bd68d13] No route found for 127.0.0.1:8080/
[2026/06/11 21:45:46] [ERROR] [REQ-8b559673e0b04aa7b0320bbc88d5c7c4] No route found for 127.0.0.1:8080/
[2026/06/11 21:45:46] [ERROR] [REQ-6f08650fb79244efb283c232f4d2747a] No route found for 127.0.0.1:8080/
[2026/06/11 21:45:46] [ERROR] [REQ-12e201ef409a4b14860d8c169e73648b] No route found for 127.0.0.1:8080/
[2026/06/11 21:45:47] [ERROR] [REQ-cf54305a8f884ad4bc12aa76fb24e099] No route found for 127.0.0.1:8080/
[2026/06/11 21:46:17] [ERROR] [REQ-342895e4b7d4475a95ea8c6ec64d1b7f] No route found for 127.0.0.1:8080/api
